Название;Автор;Рейтинг;Старая цена;Новая цена;Издательство;Год издания;ISBN;Обложка;Описание
История кота Соломона и Элен, которой было непросто;Шейла Джеффрис;3.85;979 ₽;729 ₽;Metamorphoses;2022;978-5-370-05092-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/385/2938548.jpg;Это не просто история о кошке, это история о жизни и о согревающей сердце надежде. Маленький черно-белый кот по имени Соломон должен стать защитником своей бывшей хозяйки. Нет больше задорной, счастливой и свободной маленькой девочки Элен, на ее месте — неудачно вышедшая замуж женщина, которая отчаянно нуждается в любви и поддержке. И пока Элен и ее маленький сын пытаются справиться с потерей всего, что им дорого, именно Соломон становится для них лучиком света.Вдохновляющая, трогательная и душераздирающая история любви, мужества и силы. Вы будете смеяться, плакать и никогда больше не будете смотреть на кошку так, как раньше.Идеальное чтение для поклонников «Уличного кота по имени Боб».
25 граммов счастья. История маленького ежика, который изменил жизнь человека;Массимо Ваккетта,;5;299 ₽;197 ₽;БОМБОРА;2023;978-5-04-184573-5;https://cdn.img-gorod.ru/310x500/nomenclature/29/832/2983250.jpg;Эта жизнеутверждающая история о человеке и маленьком ежике докажет вам, что ни одна любовь не может быть слишком большой, и ни одно существо не может быть слишком маленьким. Итальянский ветеринар Массимо Ваккетта рассказывает о необычайной встрече, изменившей его жизнь. После болезненного развода он чувствовал себя разбитым и подавленным, пока в клинике не появился осиротевший ежонок, который весил всего 25 граммов. Борьба за его жизнь помогла ветеринару выйти из депрессии и обрести новый смысл в своей профессии. Спасая ежика Нинну, Массимо раскрывает свою яркую индивидуальность, и вскоре в его руках один за другим оказываются другие колючие малыши: люди начинают искать необычного ветеринара, чтобы исцелить и позаботиться о самых уязвимых и слабых существах, которых порой никто не замечает.
Тайна ночного леса. Сказка и рассказ;Виталий Бианки;Отсутствует;599 ₽;397 ₽;Стрекоза;2023;978-5-9951-5560-7;https://cdn.img-gorod.ru/310x500/nomenclature/29/821/2982137.jpg;"В сборник вошли произведения Виталия Валентиновича Бианки о жизни птиц ""Оранжевое Горлышко"" и ""Тайна ночного леса"".Книга для детей младшего школьного возраста."
Рассказы о животных;Борис Житков;5;599 ₽;397 ₽;Стрекоза;2023;978-5-9951-5559-1;https://cdn.img-gorod.ru/310x500/nomenclature/29/821/2982135.jpg;В сборник вошли Рассказы о животных Бориса Житкова. Вы узнаете, куда подевались бабушкины очки, как ребята ходили в зоосад и как в квартире писателя поселился волк.Книга для детей младшего школьного возраста.
Люсси и Барбос. Книга первая. Опасное приключение;Серж Десси,;3;Отсутствует;1 299 ₽;СУПЕР Издательство;2022;978-5-9965-2606-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/819/2981979.jpg;«Одним прекрасным сентябрьским утром, когда солнышко только, только расправило свои лучики и залило золотым светом всю землю, маленькая собачка Люсси жившая на первом этаже красивого дома забралась на подоконник большого окна, и стала смотреть на улицу…»
Бегущие по кромке леса;Евгения Русинова;Отсутствует;Отсутствует;729 ₽;Феникс-Премьер;2023;978-5-222-38272-1;https://cdn.img-gorod.ru/310x500/nomenclature/29/816/2981671.jpg;"Лисёнок всегда возвращался. Но в этот раз он не смог пересечь шумную автостраду, чтобы добраться до родного леса. Зоя всегда жила в уютном доме вместе с родителями. Но в этот раз ей пришлось переехать в чужой город, пойти в незнакомую школу и жить в съёмной квартире. Два потерянных существа случайно встретились, чтобы стать настоящими друзьями. Больше чем друзьями! Но смогут ли они навсегда остаться вместе? И можно ли до конца приручить дикого зверя? ""Бегущие по кромке леса"" - книга про настоящую ответственность перед другими за их чувства и будущее."
Можно я останусь с мамой?;Анна Купырина;Отсутствует;Отсутствует;729 ₽;Феникс-Премьер;2023;978-5-222-38271-4;https://cdn.img-gorod.ru/310x500/nomenclature/29/816/2981670.jpg;Трогательная история дружбы городского мальчика и деревенского телёнка. Приехав к бабушке на каникулы, впервые надолго оказавшись без мамы, герой книги знакомится с деревенскими жителями и обычаями, взрослеет, учиться любить и брать ответственность за того, кто тебе дорог.Полная надежды и веры в добро история про лето, которое изменило жизнь. А кому-то и спасло её. История про милосердие, сострадание и настоящую любовь.
Как правильно любить собак. Рассказы;Эдуард Успенский;4.67;299 ₽;218 ₽;АСТ;2023;978-5-17-155466-8;https://cdn.img-gorod.ru/310x500/nomenclature/29/800/2980051.jpg;У писателя Эдуарда Успенского в течение жизни было много собак. Крупных, охранных, и мелких — декоративных, домашних, для дружбы. Он про них написал небольшие рассказы, а заодно рассказал об особенностях пород. Получилась книга про собак, но не только. Ещё и про людей: друзей, соседей и всех, кто любит и понимает собак и других замечательных животных.Может ли собака уронить люстру?Запросто. Стоит только на неё запрыгнуть и раскачать. Для ягдтерьера, неутомимого охотника, в этом нет ничего сложного, главное — поставить цель.А вот большие собаки, например, ризеншнауцеры, как правило добродушны, веселы и любят резвиться, воображая себя маленькими собачками. Нет для них большего удовольствия, чем взобраться хозяину на ручки!Каких только собак не было у писателя Эдуарда Успенского! И каждая со своим нравом и своими предпочтениями.Ко всем приходилось приспосабливаться.Где уж тут думать о чистоте костюма и порядке в доме!
Хроники странствующего кота;Хиро Арикава;4.5;289 ₽;222 ₽;Азбука;2023;978-5-389-23051-4;https://cdn.img-gorod.ru/310x500/nomenclature/29/779/2977977.jpg;«Хроники странствующего кота» — бестселлер Хиро Арикавы, покоривший сердца миллионов читателей по всему миру. Это удивительная, трогательная история дружбы кота со «счастливым» именем Нана, что означает по-японски «семь», и его хозяина Сатору. Вместе с тем это роман-путешествие, в котором герои перемещаются как в пространстве, так и во времени: Нана открывает для себя безбрежные морские просторы и красоту горы Фудзи, а Сатору как будто заново переживает события детства и юности. На первый взгляд кот Нана, выступающий в роли рассказчика, реалист и прагматик до мозга костей, со своей, сугубо кошачьей, философией жизни. Однако ему удается так глубоко проникнуть во внутренний мир своего хозяина, что иногда он понимает Сатору лучше его самого. Кто же они друг для друга? Зачем Сатору раз за разом отправляется в путь, прихватив с собой любимого кота?..
История кота, изменившего одну жизнь. Признание в любви;Лаура Агусти;4.57;879 ₽;695 ₽;КоЛибри;2023;978-5-389-21529-0;https://cdn.img-gorod.ru/310x500/nomenclature/29/738/2973823.jpg;История Лауры и Ойе, сиамского кота, который появился в ее жизни крошечным белым комочком, умещавшимся на ладони, и прожил с ней под одной крышей семнадцать лет. Автобиографическое повествование начинается в восьмидесятые годы в испанском городке в провинции Теруэль, где будущая художница росла в окружении жуков, ежей, собак и кошек, читая у камина сказки о животных и внимательно наблюдая за полетом птиц. Несколько лет спустя, обосновавшись в Барселоне, Лаура продолжит взращивать свою любовь ко всему живому и дарить ее своим питомцам. Прекрасно иллюстрированный, захватывающий рассказ об эмоциональной привязанности, наполненный любопытными фактами и полезными советами для каждого любителя кошек. «Те из нас, кому посчастливилось иметь домашних питомцев, знают, что именно они нас выбирают. Можно назвать это духовной связью, энергией или любовью — не важно: мы прекрасно понимаем, что это такое». (Лаура Агусти)
Записки путешествующего ветеринара: нескучные истории о диких пациентах;Джонатан Крэнстон;5;349 ₽;284 ₽;Эксмо;2023;978-5-04-181396-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/690/2969071.jpg;Для всех любителей увлекательного, захватывающего и эмоционального чтива книга известного во всем мире английского ветеринара Джонатана Крэнстона станет поразительным погружением в мир дикой природы.  Вы будете смеяться и плакать, но не сможете оторваться от чтения, потому что все эти истории не могли случиться с обычным ветеринаром, но вы будете рады, что они случились  Джонатан Крэнстон побывал на пяти континентах и лечил более ста различных видов животных, включая гигантских панд в Китае, крокодилов и носорогов в Южной Африке и других диких зверей. В своей увлекательной манере автор знакомит с некоторыми из своих любимых пациентов — от любимых домашних питомцев до великолепных диких животных. Будь то микрочипирование броненосцев, обезболивание жирафов или рождение теленка, любовь Джонатана к своей работе и всему животному царству заразительна. Его истории, от нелепых (кастрирование сахарной сумчатой летяги) до опасных (столкновение с жертвами браконьерства носорога), восхитят и очаруют каждого любителя животных.
Самый верный друг;Канити Коруэл;Отсутствует;449 ₽;364 ₽;Эксмо;2023;978-5-04-172671-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/646/2964644.jpg;Может ли котёнок стать верным другом? На самом деле вопрос вовсе не глупый. Джулии надо очень быстро решить, кто будет её питомцем — щенок, о котором она так давно мечтала, или котёнок, которого она выхаживала уже несколько недель. Кого же Джулия выберет? Щенка или котёнка?  Канити Коруэл — молодая британская писательница. Она с детства любила животных и литературу, поэтому её уютные истории о животных пронизаны вниманием к эмоциям главных героинь и повадкам их питомцев. Для поклонниц Холли Вебб и историй, где нет плохих людей! Книга издана на белой бумаге с чёрно-белыми иллюстрациями. Крупный шрифт позволит детям не перегружать глаза.   А обложку нарисовала знаменитая художница Рина Зенюк, автор синих котов!
Собаки-супергерои;Пенелопа Рич;5;949 ₽;786 ₽;АСТ;2022;978-5-17-138232-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/425/2942515.jpg;Верь в себя, мечтай и никогда не сдавайся!В этой книге вас ждёт более 35 вдохновляющих историй о жизни самых смелых, верных и сильных собак-супергероев.Наши пушистые друзья побывали в космосе и на Северном полюсе, сплавлялись на байдарках по бурным реками самостоятельно катались на поездах, а также не раз самоотверженно спасали людей от воды, огня и даже от одиночества.Как им это удалось? Что они пережили? Что совершили?Поразительные истории, добрый юмор, современные иллюстрации и прекрасные примеры для подражания — всё это под обложкой одной книги.
Они и мы;Отсутствует;3;Отсутствует;529 ₽;У Никитских ворот;2022;978-5-00170-621-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/400/2940037.jpg;"В новой книге Марка Казарновского ""Они и мы"" речь идет о существах, живущих параллельно с человеком и не всегда находящих с ним общий язык, хотя проблемы и у людей, и у ""братьев наших меньших"" одни и те же. Верность, любовь, горечь потерь, предательство. Несмотря на фантастичность некоторых рассказов, перед нами жизнь во всей непредсказуемости. Помимо философских притч о животном мире, в книгу также вошли воспоминания автора о любимой собаке, представленные в виде дневника Джима, пса ""неведомой породы"", найденного в возрасте одного месяца и ставшего полноправным членом семьи."
Самый одинокий полярный мишка;Кейл Уильямс;4.22;Отсутствует;829 ₽;Рипол-Классик;2021;978-5-386-14505-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/837/2883779.jpg;Эта книга рассказывает о белом медвежонке Норе, жизнь которой оказалась под угрозой после того, как ее мать Аврора бросила дочь на шестой день после рождения, оставив одну в искусственной ледяной берлоге зоопарка Колумбуса. У Норы еще не было шерсти, поэтому температура ее тела падала с каждой минутой. В дикой природе у белых медведей нет шансов выжить в такой ситуации, но команда Колумбуса решила спасти и вырастить Нору, которая быстро стала самым известным в мире медвежонком.  Кейл Уильямс также пишет о жизни белых медведей в Арктике и проблемах, которые они испытывают из-за глобального потепления, поэтому книга будет интересна как широкому кругу читателей, так и любителям животных и экоактивистам.
Птицы, звери и родственники: роман;Джеральд Даррелл;4.47;269 ₽;202 ₽;Азбука;2022;978-5-389-21032-5;https://cdn.img-gorod.ru/310x500/nomenclature/29/129/2912949.jpg;«Птицы, звери и родственники» — это продолжение романа «Моя семья и другие звери» — «книги, завораживающей в буквальном смысле слова» (Sunday Times) и «самой восхитительной идиллии, какую только можно вообразить» (The New Yorker). С неизменной любовью, безупречной точностью и неподражаемым юмором Даррелл рассказывает о пятилетнем пребывании своей семьи (в том числе старшего брата Ларри, то есть Лоренса Даррелла — будущего автора знаменитого «Александрийского квартета») на греческом острове Корфу. Эти романы и сборники разошлись по миру многомиллионными тиражами, стали настольными книгами уже у нескольких поколений читателей, а в Англии даже вошли в школьную программу. «Трилогия о Корфу» (с течением времени разросшаяся до шести книг) трижды переносилась на телеэкран, причем последний раз — в 2016–2019 гг., когда британская компания ITV выпустила сериал «Дарреллы» (в четырех сезонах), одним из постановщиков которого выступил Эдвард Холл («Аббатство Даунтон», «Мисс Марпл Агаты Кристи»).
Птицы, звери и родственники;Джеральд Даррелл;3.79;629 ₽;488 ₽;Иностранка;2022;978-5-389-21161-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/129/2912948.jpg;«Птицы, звери и родственники» — это продолжение романа «Моя семья и другие звери» — «книги, завораживающей в буквальном смысле слова» (Sunday Times) и «самой восхитительной идиллии, какую только можно вообразить» (The New Yorker). С неизменной любовью, безупречной точностью и неподражаемым юмором Даррелл рассказывает о пятилетнем пребывании своей семьи (в том числе старшего брата Ларри, то есть Лоренса Даррелла — будущего автора знаменитого «Александрийского квартета») на греческом острове Корфу. Эти романы и сборники разошлись по миру многомиллионными тиражами, стали настольными книгами уже у нескольких поколений читателей, а в Англии даже вошли в школьную программу.  «Трилогия о Корфу» (с течением времени разросшаяся до шести книг) трижды переносилась на телеэкран, причем последний раз — в 2016 году, когда британская компания ITV выпустила первый сезон сериала «Дарреллы», одним из постановщиков которого выступил Эдвард Холл («Аббатство Даунтон», «Мисс Марпл Агаты Кристи»). Роман публикуется в новом (и впервые — в полном) переводе, выполненном Сергеем Таском, чьи переводы Тома Вулфа и Джона Ле Карре, Стивена Кинга и Пола Остера, Иэна Макьюэна, Ричарда Йейтса и Фрэнсиса Скотта Фицджеральда уже стали классическими.
Героические животные. Истории самых невероятных подвигов;Валерия Ильина;4.86;1 389 ₽;486 ₽;Эксмо;2022;978-5-04-113063-3;https://cdn.img-gorod.ru/310x500/nomenclature/28/847/2884724.jpg;Каждое живое существо на нашей планете способно на невероятные подвиги и поступки, которые поражают своим героизмом и самоотверженностью. Знаете ли вы о том, как знаменитая лошадь Петра Первого Лизетта спасла его в Полтавской битве? Или о реальном прототипе собаки по кличке Тузбубен из булгаковского «Мастера и Маргариты», который выследил не один десяток преступников? И, конечно, о бегемотихе Красавице, которая пережила блокаду в ленинградском зоопарке и стала символом стойкости.Кто-то из братьев наших меньших помог совершить научный прорыв мирового масштаба или одержать победу на поле боя: их образы сохранились в памятниках и на парадных портретах. Другие — показали людям пример верности и бескорыстия. В этой книге вы прочтете самые невероятные и трогательные истории о животных-героях, которые служили диверсантами, санитарами, саперами во время Великой отечественной войны, о верблюжьем батальоне, рыжем коте-зенитчике, предсказывающем авиа-налеты, о «летающих» собаках Белке и Стрелке, знаменитом Мухтаре и многих других.
Сад богов;Джеральд Даррелл;4.13;629 ₽;488 ₽;Иностранка;2022;978-5-389-14369-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/129/2912950.jpg;«Сад богов» — это продолжение романов «Моя семья и другие звери» — «книги, завораживающей в буквальном смысле слова» (Sunday Times) и «самой восхитительной идиллии, какую только можно вообразить» (The New Yorker) и «Птицы, звери и родственники», а также сборника «Праздники, звери и прочие несуразности». С неизменной любовью, безупречной точностью и неподражаемым юмором Даррелл рассказывает о пятилетнем пребывании своей семьи (в том числе старшего брата Ларри, то есть Лоренса Даррелла — будущего автора знаменитого «Александрийского квартета») на греческом острове Корфу. Эти романы и сборники разошлись по миру многомиллионными тиражами, стали настольными книгами уже у нескольких поколений читателей, а в Англии даже вошли в школьную программу. «Трилогия о Корфу» (с течением времени разросшаяся до шести книг) трижды переносилась на телеэкран, причем последний раз — в 2016–2019 гг., когда британская компания ITV выпустила сериал «Дарреллы» (в четырех сезонах), одним из постановщиков которого выступил Эдвард Холл («Аббатство Даунтон», «Мисс Марпл Агаты Кристи»). Роман публикуется в новом переводе, выполненном Сергеем Таском, чьи переводы Тома Вулфа и Джона Ле Карре, Стивена Кинга и Пола Остера, Иэна Макьюэна, Ричарда Йейтса и Фрэнсиса Скотта Фицджеральда уже стали классическими.
О всех созданиях — мудрых и удивительных;Джеймс Хэрриот;4.72;289 ₽;223 ₽;Азбука;2022;978-5-389-20374-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/798/2879833.jpg;"Имя  писателя и ветеринара Джеймса Хэрриота известно миллионам читателей во всем мире;  его произведения переведены на десятки языков. В этой книге автор вновь обращается к смешным и бесконечно трогательным историям о своих четвероногих пациентах — мудрых и удивительных – и вспоминает о первых годах своей ветеринарной практики в Дарроуби, за которым проступают черты Тирска, где ныне находится музей Джеймса Хэрриота.   В сборник также вошли рассказы о том, как после недолгой семейной жизни молодой ветеринар оказался в роли новоиспеченного летчика Королевских военно-воздушных сил Великобритании и совершил свои первые самостоятельные полеты. На русском языке книга впервые была опубликована в 1985 году (в составе сборника «О всех созданиях — больших и малых»),  с пропуском отдельных фрагментов и целых глав. В настоящем издании публикуется полный перевод с восстановленными купюрами."
Когти перемен. Истории из жизни ветеринарного врача;Ольга Шильцова;4.56;499 ₽;408 ₽;АСТ;2022;978-5-17-148459-0;https://cdn.img-gorod.ru/310x500/nomenclature/29/212/2921235.jpg;Удивительная история ветеринарного врача Надежды о переезде в незнакомый город, необычных клинических случаях из практики и о начале жизни с чистого листа.
Мир Налы: роман;Дин Николсон;4.27;289 ₽;222 ₽;Азбука;2022;978-5-389-21034-9;https://cdn.img-gorod.ru/310x500/nomenclature/29/239/2923971.jpg;Отправляясь из родной Шотландии в кругосветное путешествие на велосипеде, тридцатилетний Дин Николсон поставил перед собой цель как можно больше узнать о жизни людей на нашей планете. Но он не мог даже вообразить, что самые важные уроки получит от той, с кем однажды случайно встретится на обочине горной дороги. И вот уже за приключениями Николсона и его удивительной спутницы, юной кошки, которой он дал имя Нала, увлеченно следит гигантская аудитория. Видео их знакомства просмотрело сто тридцать шесть миллионов человек, а число подписчиков в «Инстаграме» превысило девятьсот пятьдесят тысяч — и продолжает расти! С изумлением Дин обнаружил, что Нала притягивает незнакомцев как магнит. И мир, прежде для него закрытый, мир, где он варился в собственном соку, внезапно распахнул перед ним все свои двери.
Выдающиеся кошки! Удивительные истории об отважных кошках;Кимберли Гамильтон;5;Отсутствует;1 299 ₽;Гудвин;2022;978-5-6047344-3-8;https://cdn.img-gorod.ru/310x500/nomenclature/29/239/2923988.jpg;Кошки тоже могут быть героями!Коты те ещё любители приключений. Они умеют выживать в сложных условиях, а жизнь многих из них просто невероятна. Знаете о таких котиках? Уверены, что нет! Эта книга исправит положение. В ней собраны более 30 историй о реальных кошках и котах героях.Ты узнаешь о легендах Второй Мировой войны, о рекордсменах из книги рекордов Гинесса, о персонажах бестселлеров, кошке-космонавте и других хвостатых смельчаках! Готов к удивительным приключениям, от которых шерсть встаёт дыбом?
Такса судьбы;Ольга Шильцова;3.82;499 ₽;408 ₽;АСТ;2022;978-5-17-151146-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/303/2930311.jpg;Екатерина Андреевна, молодой ветринарный врач, сутками пропадает на работе, махнув рукой на личную жизнь. Однажды к ней на прием приносят таксу с параличом задних лапок. Хозяйка требует усыпить собаку, но вопреки правилам Катя решает самостоятельно вылечить беднягу и забирает ее домой. Так начинается история удивительной дружбы и любви. Вместе с героями книги вы увидите изнанку работы ветеринарной клиники, в том числе 15 реальных случаев из практики.
Глазами ветеринара. Невероятные приключения Семена Петровича в эпоху перемен;Константин Перепечаев;4.33;549 ₽;450 ₽;АСТ;2022;978-5-17-151657-4;https://cdn.img-gorod.ru/310x500/nomenclature/29/384/2938400.jpg;Константин Перепечаев не профессиональный писатель. Прежде всего, он – ветеринар и доктор биологических наук. Профессионализм, юмор и любовь к животным – все это переплетается в сборнике рассказов и  создает живой образ паренька, так хотевшего стать кем-то значимым. Это целая история о жизни и ветеринарной практике: непростые 90-е годы, поступление в институт, первые встречи с пушистыми пациентами... Он с улыбкой вспоминает встречи, забавные и трогательные случаи и, конечно же, животных, которые обладают своим характером и за чьим поведением так интересно наблюдать.
История кота Соломона и Элен, которой было непросто;Шейла Джеффрис;3.85;979 ₽;729 ₽;Metamorphoses;2022;978-5-370-05092-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/385/2938548.jpg;Это не просто история о кошке, это история о жизни и о согревающей сердце надежде. Маленький черно-белый кот по имени Соломон должен стать защитником своей бывшей хозяйки. Нет больше задорной, счастливой и свободной маленькой девочки Элен, на ее месте — неудачно вышедшая замуж женщина, которая отчаянно нуждается в любви и поддержке. И пока Элен и ее маленький сын пытаются справиться с потерей всего, что им дорого, именно Соломон становится для них лучиком света.Вдохновляющая, трогательная и душераздирающая история любви, мужества и силы. Вы будете смеяться, плакать и никогда больше не будете смотреть на кошку так, как раньше.Идеальное чтение для поклонников «Уличного кота по имени Боб».
Они и мы;Отсутствует;3;Отсутствует;529 ₽;У Никитских ворот;2022;978-5-00170-621-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/400/2940037.jpg;"В новой книге Марка Казарновского ""Они и мы"" речь идет о существах, живущих параллельно с человеком и не всегда находящих с ним общий язык, хотя проблемы и у людей, и у ""братьев наших меньших"" одни и те же. Верность, любовь, горечь потерь, предательство. Несмотря на фантастичность некоторых рассказов, перед нами жизнь во всей непредсказуемости. Помимо философских притч о животном мире, в книгу также вошли воспоминания автора о любимой собаке, представленные в виде дневника Джима, пса ""неведомой породы"", найденного в возрасте одного месяца и ставшего полноправным членом семьи."
Собаки-супергерои;Пенелопа Рич;5;949 ₽;786 ₽;АСТ;2022;978-5-17-138232-2;https://cdn.img-gorod.ru/310x500/nomenclature/29/425/2942515.jpg;Верь в себя, мечтай и никогда не сдавайся!В этой книге вас ждёт более 35 вдохновляющих историй о жизни самых смелых, верных и сильных собак-супергероев.Наши пушистые друзья побывали в космосе и на Северном полюсе, сплавлялись на байдарках по бурным реками самостоятельно катались на поездах, а также не раз самоотверженно спасали людей от воды, огня и даже от одиночества.Как им это удалось? Что они пережили? Что совершили?Поразительные истории, добрый юмор, современные иллюстрации и прекрасные примеры для подражания — всё это под обложкой одной книги.
Самый верный друг;Канити Коруэл;Отсутствует;449 ₽;364 ₽;Эксмо;2023;978-5-04-172671-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/646/2964644.jpg;Может ли котёнок стать верным другом? На самом деле вопрос вовсе не глупый. Джулии надо очень быстро решить, кто будет её питомцем — щенок, о котором она так давно мечтала, или котёнок, которого она выхаживала уже несколько недель. Кого же Джулия выберет? Щенка или котёнка?  Канити Коруэл — молодая британская писательница. Она с детства любила животных и литературу, поэтому её уютные истории о животных пронизаны вниманием к эмоциям главных героинь и повадкам их питомцев. Для поклонниц Холли Вебб и историй, где нет плохих людей! Книга издана на белой бумаге с чёрно-белыми иллюстрациями. Крупный шрифт позволит детям не перегружать глаза.   А обложку нарисовала знаменитая художница Рина Зенюк, автор синих котов!
Записки путешествующего ветеринара: нескучные истории о диких пациентах;Джонатан Крэнстон;5;349 ₽;284 ₽;Эксмо;2023;978-5-04-181396-3;https://cdn.img-gorod.ru/310x500/nomenclature/29/690/2969071.jpg;Для всех любителей увлекательного, захватывающего и эмоционального чтива книга известного во всем мире английского ветеринара Джонатана Крэнстона станет поразительным погружением в мир дикой природы.  Вы будете смеяться и плакать, но не сможете оторваться от чтения, потому что все эти истории не могли случиться с обычным ветеринаром, но вы будете рады, что они случились  Джонатан Крэнстон побывал на пяти континентах и лечил более ста различных видов животных, включая гигантских панд в Китае, крокодилов и носорогов в Южной Африке и других диких зверей. В своей увлекательной манере автор знакомит с некоторыми из своих любимых пациентов — от любимых домашних питомцев до великолепных диких животных. Будь то микрочипирование броненосцев, обезболивание жирафов или рождение теленка, любовь Джонатана к своей работе и всему животному царству заразительна. Его истории, от нелепых (кастрирование сахарной сумчатой летяги) до опасных (столкновение с жертвами браконьерства носорога), восхитят и очаруют каждого любителя животных.
